PROD_CLR_EQUIV,SALES_QTY,SALES_AMT_FX_RATE
2141261FU,176.0,937.6347
223257_GD,2240.0,20645.0979
212672_GD,5608.0,38461.7818
220671_CA,3787.0,96792.6984
216611_EC,7324.0,176157.2138
216238_GD,4812.0,33482.8603
219602_CL,6851.0,150390.6536
213003_HM,3632.0,26244.6153
208060_PK,1438.0,12045.6537
208719_WT,472.0,7668.7767
216144_BL,3840.0,60093.1431
218316_GD,1021.0,6109.5884
223315_WT,1331.0,21629.8976
217981_BG,158.0,4219.3596
222887_NV,2077.0,52533.7201
212976_HM,4507.0,44280.7926
211181_HM,2491.0,10261.9653
220912_WT,4400.0,44136.8512
219711_BM,3102.0,70555.7057
214342_BK,1371.0,20098.0621
220780_GD,2570.0,17780.1871
210332_PH,4932.0,26868.3786
211450_BG,360.0,10883.6946
219596_KK,4647.0,111349.8474
217034_KK,7185.0,154227.0534
215444_KK,7855.0,184689.6403
222126_EC,1507.0,36800.3649
1682863BM,6967.0,36163.4674
212561_RD,2607.0,10246.5547
217668_BK,257.0,6901.1322
218618_BM,6517.0,32319.5961
217187_BK,3734.0,104756.2724
225260_PE,991.0,11422.0629
222265_NV,3474.0,124594.8916
216097_BL,5345.0,166145.5405
226848_DG,57.0,4980.7125
227195_BM,26.0,225.0904
213555_BK,404.0,6658.3882
217639_PK,2917.0,24346.3163
221145_IG,3262.0,57739.4727
212315_TO,1267.0,9045.9142
222891_WT,803.0,20862.2347
216349_GN,5719.0,38646.4213
212722_PK,1936.0,57512.3938
214559_BM,4071.0,44328.7341
217648_PK,367.0,5432.403
204482_GD,4118.0,44302.2392
2096671BM,121.0,768.9359
221279_BM,3775.0,16474.0625
223365_BM,2397.0,83808.2789
217344_BM,3040.0,65312.3576
214134_BM,5013.0,33677.9875
209760_WT,2327.0,21131.333
218357_BM,1840.0,11351.8259
212106_BK,2396.0,68870.097
211463_GD,2473.0,12215.4922
224419_BK,11.0,349.993
214158_HM,562.0,2420.2765
219713_BM,3527.0,76641.671
224852_BK,141.0,3794.7458
216248_IV,9066.0,92201.4604
224570_BK,3555.0,16785.617
209604_SV,4104.0,23355.8346
